millis,stamp,datetime,Pressure,Pitch,Roll,DrawWire,Rot.Pos,LinMassPos,tp1,tp2,yaw,rolld,pitchd,yawd,north,east,up
1752212, 2101915089, "2165/165/165 165:165:85", 128, -20.02, 3.57, 306, 389, 495, 1756.22, -0.00, 23.04, 1.19, -0.83, -0.40, 0.00, 0.19, 0.00, 
1.09
1752257, 2101915089, "2165/165/165 165:165:85", 131, -20.78, 3.16, 305, 379, 495, 1756.32, 0.19, 23.05, 1.15, 1.67, 0.25, 128.14, 0.00, 0.00, 
1.21
1752283, 2101915089, "2165/165/165 165:165:85", 131, -20.78, 3.16, 305, 369, 496, 1756.32, 0.19, 23.05, 1.15, 1.67, 0.25, 128.14, 0.00, 0.00, 
1.21
1752308, 2101915089, "2165/165/165 165:165:85", 131, -20.78, 3.16, 305, 362, 495, 1756.32, 0.19, 23.05, 1.15, 1.67, 0.25, 128.14, 0.00, 0.00, 
1.21
1752325, 2101915089, "2165/165/165 165:165:85", 131, -20.78, 3.16, 305, 355, 495, 1756.32, 0.19, 23.05, 1.15, 1.67, 0.25, 128.14, 0.00, 0.00, 
1.26
1752341, 2101915089, "2165/165/165 165:165:85", 131, -20.78, 3.16, 305, 349, 497, 1756.32, 0.19, 23.05, 1.15, 1.67, 0.25, 128.14, 0.00, 0.00, 
1.13
1752358, 2101915089, "2165/165/165 165:165:85", 131, -21.51, 2.08, 306, 344, 497, 1756.42, -0.00, 23.24, 1.09, 2.03, 0.31, 401.84, ovf, -0.00, 
1.26
1752383, 2101915089, "2165/165/165 165:165:85", 131, -21.51, 2.08, 306, 340, 497, 1756.42, -0.00, 23.24, 1.09, 2.03, 0.31, 401.84, ovf, -0.00, 
1.26
1752399, 2101915089, "2165/165/165 165:165:85", 132, -21.51, 2.08, 305, 336, 495, 1756.42, -0.00, 23.24, 1.09, 2.03, 0.31, 401.84, ovf, -0.00, 
1.21
1752415, 2101915089, "2165/165/165 165:165:85", 131, -21.51, 2.08, 305, 333, 496, 1756.42, -0.00, 23.24, 1.09, 2.03, 0.31, 401.84, ovf, -0.00, 
1.21
1752441, 2101915089, "2165/165/165 165:165:85", 131, -21.51, 2.08, 305, 328, 495, 1756.42, -0.00, 23.24, 1.09, 2.03, 0.31, 401.84, ovf, -0.00, 
1.21
1752458, 2101915089, "2165/165/165 165:165:85", 131, -22.19, 1.53, 305, 326, 495, 1756.52, -0.00, 23.28, 0.83, -0.88, -0.46, 400.30, 128.00, 0.00, 
1.21
1752474, 2101915089, "2165/165/165 165:165:85", 131, -22.19, 1.53, 305, 324, 495, 1756.52, -0.00, 23.28, 0.83, -0.88, -0.46, 400.30, 128.00, 0.00, 
1.21
1752500, 2101915089, "2165/165/165 165:165:85", 132, -22.19, 1.53, 305, 322, 495, 1756.52, -0.00, 23.28, 0.83, -0.88, -0.46, 400.30, 128.00, 0.00, 
1.21
1752516, 2101915089, "2165/165/165 165:165:85", 131, -22.19, 1.53, 305, 321, 495, 1756.52, -0.00, 23.28, 0.83, -0.88, -0.46, 400.30, 128.00, 0.00, 
1.21
1752532, 2101915089, "2165/165/165 165:165:85", 131, -22.19, 1.53, 305, 314, 495, 1756.52, -0.00, 23.28, 0.83, -0.88, -0.46, 400.30, 128.00, 0.00, 
1.21
1752550, 2101915089, "2165/165/165 165:165:85", 131, -22.74, 3.22, 305, 318, 495, 1756.62, -0.00, 22.54, 0.64, -3.80, -1.53, 400.30, 248.13, 0.00, 
1.21
1752577, 2101915089, "2165/165/165 165:165:85", 131, -22.74, 3.22, 305, 316, 495, 1756.62, -0.00, 22.54, 0.64, -3.80, -1.53, 400.30, 248.13, 0.00, 
1.26
1752593, 2101915089, "2165/165/165 165:165:85", 131, -22.74, 3.22, 305, 315, 495, 1756.62, -0.00, 22.54, 0.64, -3.80, -1.53, 400.30, 248.13, 0.00, 
1.21
1752609, 2101915089, "2165/165/165 165:165:85", 131, -22.74, 3.22, 305, 314, 495, 1756.62, -0.00, 22.54, 0.64, -3.80, -1.53, 400.30, 248.13, 0.00, 
1.21
1752635, 2101915089, "2165/165/165 165:165:85", 131, -22.74, 3.22, 305, 312, 495, 1756.62, -0.00, 22.54, 0.64, -3.80, -1.53, 400.30, 248.13, 0.00, 
1.21
1752652, 2101915089, "2165/165/165 165:165:85", 131, -23.16, 4.23, 305, 313, 495, 1756.72, -0.00, 22.10, 0.51, 0.33, 0.24, 400.13, 0.00, 0.00, 
1.26
1752669, 2101915089, "2165/165/165 165:165:85", 131, -23.16, 4.23, 305, 312, 495, 1756.72, -0.00, 22.10, 0.51, 0.33, 0.24, 400.13, 0.00, 0.00, 
1.21
1752694, 2101915089, "2165/165/165 165:165:85", 131, -23.16, 4.23, 305, 311, 495, 1756.72, -0.00, 22.10, 0.51, 0.33, 0.24, 400.13, 0.00, 0.00, 
1.21
1752711, 2101915089, "2165/165/165 165:165:85", 131, -23.16, 4.23, 305, 310, 495, 1756.72, -0.00, 22.10, 0.51, 0.33, 0.24, 400.13, 0.00, 0.00, 
1.21
1752727, 2101915089, "2165/165/165 165:165:85", 132, -23.16, 4.23, 305, 308, 495, 1756.72, -0.00, 22.10, 0.51, 0.33, 0.24, 400.13, 0.00, 0.00, 
1.21
